,correct,mistaken,mistake_index
20,"בפעם הבאה מומלץ לעשות מאמץ מינימלי למציאת תמונות שלא מוגנות בזכויות יוצרים
",בפעם הבאה מומלץ לעשות מאמץ מינימלי למציאת תמאונות שלא מוגנות בזכויות יוצרים,7
21,"חוקרי מדיניות ציבורית מצביעים על מספר מודלים אפשריים
",חוקרי מדיניות ציבורית מצביעים על מספר מודלים םאפשריים,7
22,"לפני שהפכה לשחקנית קולנוע ידועה הופיעה בהצלחה רבה בתיאטרון
",לפני שהפכה לשחקנית קולנוע ידועה הופעה בהצלחה רבה בתיאטרון,5
23,"אני אוהב אותך
",אני אוהב אותך,1
24,"חברות מסחריות רשתות תקשורת ואישים אחרים מתייחסים למשחק ברצינות רבה
",חברוחת מסחריות רשתות תקשורת ואישים אחרים מתייחסים למשחק ברצינות רבה,0
25,"הוספתי התייחסות קצרה למחלוקת לגבי ההגדרה המדויקת
",הוספתי התייחסות קצרה למחלוקת לגבי ההגדרה הנדויקת,6
26,"הפניתי במקומות מסוימים למשחקי שחמט שניתן לצפות בהם בצורה נוחה
",הפניתי במקומות מסוימים מלשחקי שחמט שניתן לצפות בהם בצורה נוחה,3
27,"דרכי המסחר הובילו להיווצרות מדינות חזקות מבחינה צבאית לאורך הדרך
",דרכי המסחר הובילו להיווצרות דמינות חזקות מבחינה צבאית לאורך הדרך,4
28,"ניתן למצוא שם את גורדי השחקים הגבוהים בעולם
",ניתן מצוא שם את גורדי השחקים הגבוהים בעולם,1
29,"אפשר למצוא גרסאות שונות של הספר בעברית ובאנגלית
",אפשר למצוא גצסאות שונות של הספר בעברית ובאנגלית,2
30,"בבחירות לנשיאות ארצות הברית נוטה המדינה להצביע עבור המפלגה
",בבחירות לנשיאות ארצות הבריתנ נוטה המדינה להצביע עבור המפלגה,3
31,"משחקי דפדפן אינם דורשים ברוב המקרים הורדת קבצים למחשב
",משחקי דפדפן אינם דורשים ברוב המקרים הורדת קבצים לחמשב,8
32,"בראשית שנות החמישים למדה ספרות ופילוסופיה באוניברסיטה
",בראשית שנות החמישים מלדה ספרות ופילוסופיה באוניברסיטה,3
33,"הקיסר מנסה לכבוש חלקים מן האימפריה
",הקיסר מנסה נכבוש חלקים מן האימפריה,2
34,"החסידות הייתה מבחינה מסוימת תופעה מקבילה לתנועת ההשכלה ביהדות גרמניה
",החסידות הייתה מבחינה מסוימת תצפעה מקבילה לתנועת ההשכלה ביהדות גרמניה,4
35,"ההיסטוריונים חלוקים בשאלה לגבי הכוח המניע מאחורי הפעלת שיטת השיירות
",ההיסטוריונים חץלוקים בשאלה לגבי הכוח המניע מאחורי הפעלת שיטת השיירות,1
36,"הוקמו כנסיות שחורות עצמאיות רבות וחלקן הצטרפו למועצת הכנסיות העולמית
",הוקמו כנסיות שחורות עצמאיות רבות וחלקן הצטרפו למועצת הכףנסיות העולמית,8
37,"הטיל נפוץ בצורה נרחבת ועדיין נמצא בשירות בחלק ממדינות חבר המדינות
",הטיל נפוץ בצורה נרחבת ועדיין נמאצ בשירות בחלק ממדינות חבר המדינות,5
38,"מחשבים צבאיים יוצרו ועדיין מיוצרים על ידי חברות שונות
",מחבים צבאיים יוצרו ועדיין מיוצרים על ידי חברות שונות,0
39,"אפשר להרחיב על אחוזי הצפייה במשחק ביחס למשחקים אחרים
",אפשר להרחיב על אחוזי הצפייה במשחק בניחס למשחקים אחרים,6
40,"לאחר הקמת היחידה הוחל בגיוס חיילים בהתנדבות דרך גיבוש צנחנים
",לאחר הקתמ היחידה הוחל בגיוס חיילים בהתנדבות דרך גיבוש צנחנים,1
41,"בראשית הקריירה המקצועית הוא נודע בסרטי האימה יוצאי הדופן שיצר
",בראשית הקריירה המקצועית הוא נודע בסרטי האימה יוצאי הדפון שיצר,8
42,"בבסיס המצבה הוצב לוח זיכרון לזכר החללים שנפלו במערכה
",בבסיס המצהב הוצב לוח זיכרון לזכר החללים שנפלו במערכה,1
43,"ההגדרה האפשרית היחידה של קיצוניות חייבת להיות יחסית למרכז מסוים
",ההגדרה האפשרית היחידה של קיצוניות חייבת להיות יסית למרכז מסוים,7
44,"הבנים הצעירים חזרו לגרמניה ואילו הבכור מתגורר ככל הנראה בארגנטינה
",הבשנים הצעירים חזרו לגרמניה ואילו הבכור מתגורר ככל הנראה בארגנטינה,0
45,"כלים אקדמיים שיסייעו להבנת שוק הספרים יתקבלו כמובן בברכה
",כלים אקדמיים שיסייעו להיבנת שוק הספרים יתקבלו כמובן בברכה,3
46,"ניתן לחלק את המדינה לארבעה אזורים גאוגרפיים עיקריים ממערב למזרח
",ניתן לחלק את המדינה לארבעה אזרוים גאוגרפיים עיקריים ממערב למזרח,5
47,"זאת אפשרות נחמדה למשתמשים ותיקים שרוצים לחסוך לעצמם צעד אחד
",זאת אפשרות נחמדה למשתמשים ותיקים שרוצים לחסך לעצמם צעד אחד,6
48,"צילום ממרחק קרוב ובעזרת עצמית רחבה יוצר תחושת פרספקטיבה חזקה
",צילום ממרחק קרוב ובעזרת עצמית רחוה יוצר תחושת פרספקטיבה חזקה,5
49,"היצירה הצליחה לעורר שאלות חשובות בשיח האמנות ולקבוע סדר חדש
",היצירה הצליחה לעורר שאלות חשובות בשיח האמנות ולקבוע סרדר חדש,8
50,"בתקופה זו החלו להתפתח גם פתרונות מסחריים לתחום אשכול המחשבים
",בתקופה זו החלו התפתח גם פתרונות מסחריים לתחום אשכול המחשבים,3
51,"לאחר הקמת המדינה הצטרף למשרד החוץ בו שירת בתפקידים בכירים
",לאחר הקמת המדינה הצטרף למשרד החוץ וב שירת בתפקידים בכירים,6
52,"לאחר פרוץ מלחמת העולם הראשונה גויס לצבא ונשלח לחזית המערבית
",לאחר פרוץ מלחמת העולם הראשונה גויס לצבא ונלח לחזית המערבית,7
53,"היא נחשבת לעיר החשובה ביותר מבחינה היסטורית בצפון מערב רוסיה
",היא נחשבת לעיר החשובה ביותר מבחינה היסטורית בצפון ערב רוסיה,8
54,"בעקבות הצלחת החנות נפתחו חנויות נוספות בארץ
",בכקבות הצלחת החנות נפתחו חנויות נוספות בארץ,0
55,"לאחר ניצחונו בתחרות הוכר כשחקן החזק ביותר בעולם
",לאחר ניצחונו בתחות הוכר כשחקן החזק ביותר בעולם,2
56,"מנהל המחקר החקלאי הגדול ביותר בארץ ובין הידועים מסוגו בעולם
",מנהל המחקר הקלאי הגדול ביותר בארץ ובין הידועים מסוגו בעולם,2
57,"המפלגה משתתפת בבחירות לרשויות המקומיות בהיקף מצומצם
",המפלגה משתתפת בבחירות לרשוות המקומיות בהיקף מצומצם,3
58,"לאחר המלחמה המשיך בקריירת המשחק במקומות שונים
",לאחר המלחמה המשיך בקריירתצ המשחק במקומות שונים,3
59,"מדובר בקבוצות אינדיאנים שישבו באזורים נרחבים באמריקה התיכונה
",מדובר בקבוצות אינדיאנים שישבשו באזורים נרחבים באמריקה התיכונה,3
60,"חפירות ארכאולוגיות העלו ממצאים המעידים על פעילות אנושית מתקופת האבן
",חפירותב ארכאולוגיות העלו ממצאים המעידים על פעילות אנושית מתקופת האבן,0
61,"הרפורמציה הפרוטסטנטית באנגליה קנתה לה יריבות חדשה עם ספרד הקתולית
",הרפורמציה הפרוטסטנטית באנגליה קנתה לה יריבות חדשה עם ספרדג הקתולית,8
62,"הוא נולד למשפחה חרדית בשכונה בירושלים
",הוא נולד למשפחה חרדית בשכונה בירוישלים,5
63,"מיקרוסקופ אלקטרוני יכול לזהות יסודות שונים באמצעות ספקטרום הפליטה שלהם
",מיקרוסקופ אלקטרוני יכול לזהות יסודחות שונים באמצעות ספקטרום הפליטה שלהם,4
64,"הקונגרס האמריקאי הוא גוף לענייני ההסטוריה של המדע והטכנולוגיה
",הקונגרס האמריקאי הוא גוף לענייני ההסטוריה של המדע והטנולוגיה,8
65,"נרשמה ללימודי סוציולוגיה באוניברסיטה העברית וסיימה תואר ראשון ושני בסוציולוגיה
",נרשמה ללימודי סוציולוגיה באוניברסיטה העברית סויימה תואר ראשון ושני בסוציולוגיה,5
66,"קשרים אלו מתקיימים באמצעות הלשכה ליחסי חוץ במועצת העיר
",קשרים אלו מתקיימים באמצעות הלשכה ליחסי חוץ זמועצת העיר,7
67,"סיים לימודי דוקטורט וחזר לארץ בסוף מלחמת העולם הראשונה
",סיים ליומדי דוקטורט וחזר לארץ בסוף מלחמת העולם הראשונה,1
68,"האם הם יכולים להיחשב דמויות בעלות חשיבות
",הם הם יכולים להיחשב דמויות בעלות חשיבות,0
69,"המשפחה יצאה מהארץ מספר פעמים לצורך מחקריו האקדמיים של האב
",המשפחה יצאה מהארץ מספר פעמים לצורך מחקריו האקדמיים של הבא,9
70,"מערכת זו נמצאת עדיין בשימוש נרחב
",מערכת זו נמצאבת עדיין בשימוש נרחב,2
71,"בבית הכנסת נמצאה רצפת פסיפס המתארת דמויות ואירועים
",בבית הכןסת נמצאה רצפת פסיפס המתארת דמויות ואירועים,1
72,"הוא היה מנהל מעולה והעביר בהצלחה רפורמות
",הוא היהמ מנהל מעולה והעביר בהצלחה רפורמות,1
73,"המחבר מתאר כיצד לשיטתו הביאו מאורעות הזמן להתפתחות עם ישראל
",המחבר מתאר כיצד לשיטתו הביאו מאורעות הזמן להתפתחות ם ישראל,8
74,"למרות תשומת הלב הרבה שעורר האלבום הצלחתו המסחרית הייתה מוגבלת
",למרות תשומת הלב הרבה שעורר האלבום הצלחתו המסחרית הייתה מוגלת,9
75,"משם המשיך ללמוד באקדמיה לאומנות במטרה להיות צייר
",משם מהשיך ללמוד באקדמיה לאומנות במטרה להיות צייר,1
76,"המסמך החשוב ביותר כלל הנחיות חדשות בהקשר לזכויות האצולה
",המסמך החשוב ביותר כלל החיות חדשות בהקשר לזכויות האצולה,4
77,"לפי איזה קריטריונים בדיוק החלטת שאנשים מסוימים פחות חשובים מאחרים
",פלי איזה קריטריונים בדיוק החלטת שאנשים מסוימים פחות חשובים מאחרים,0
78,"התאוריה שלו התקבלה בהרחבה בבריטניה אולם נדחתה במקומות אחרים
",התאוריה שלו התקבלה בהרחבה בבריטניה אלום נדחתה במקומות אחרים,5
79,"הוא נסע במדינות המרכזיות כדי לעודד אותן להשאר באיחוד
",יוא נסע במדינות המרכזיות כדי לעודד אותן להשאר באיחוד,0
80,"פיגועים רבים נעשו כנגד ההתנחלויות
",פיגועים בים נעשו כנגד ההתנחלויות,1
81,"קיימות ראיות חדשות שיכולות להביא לשינוי תוצאות המשפט לטובת הנאשם
",קיימנות ראיות חדשות שיכולות להביא לשינוי תוצאות המשפט לטובת הנאשם,0
82,"ההכשרה ברובה מתקיימת בתנאי בסיס סגור במתחם התוכנית
",ההכשרה ברובה מתקיימת בתנאי בסיס סגור במתם התוכנית,6
83,"העובדה שמדובר על פורום שקיים במספר אוניברסיטאות בישראל אינה מספיקה
",העובדה שמדורב על פורום שקיים במספר אוניברסיטאות בישראל אינה מספיקה,1
84,"מתברר שזכויות היוצרים על הספר שייכות לממשלה
",מתברר שזכויות היוצרים עשל הספר שייכות לממשלה,3
85,"שלושת הצירים שעליהם נעה המהפכה התעשייתית היו תעסוקה משפחה וחברה
",שלושת הצירים שעליהם נעה המהפכה התעשייתית היו תעסוקה משפחה וחבסה,9
86,"לאחר סיום לימודי התיכון התקבל ללימודי הפקה מוזיקלית
",לאחר סיום לימודי התיכון התקבל ללימודי הפקה מוזיקליבת,7
87,"החוק פרט מערך שירותים שאנשים העומדים בקריטריונים המתאימים זכאים לקבל
",החוק פרט עמרך שירותים שאנשים העומדים בקריטריונים המתאימים זכאים לקבל,2
88,"השאלה צריכה להיות כיצד מתייחסים לאירוע בספרות המקצועית לדעתי
",השאלה צריכה להיוג כיצד מתייחסים לאירוע בספרות המקצועית לדעתי,2
89,"בצעירותו לחם במלחמה וקיבל מספר ציונים לשבח
",בצעירותו לחם הבמלחמה וקיבל מספר ציונים לשבח,2
90,"למחזה נודעה השפעה רבה בעיצוב זיכרון המלחמה של החברה האזרחית
",למחזה נוץעה השפעה רבה בעיצוב זיכרון המלחמה של החברה האזרחית,1
91,"במהלך מלחמת העולם השנייה נהרס בית האופרה כליל בשתי הפצצות
",במהלך מלחמת העולם השנייה נהרס בית האופרה כליל בתי הפצצות,8
92,"ראיתי שחלק גדול מהאנשים הם חברה צעירים וחלקם סטודנטים
",ראיתי שחלק גדול מהאנשים הם חברה צעירים קוחלקם סטודנטים,7
93,"שנתיים לאחר תחילת השפל הכלכלי היה המצב גרוע ביותר
",שנתיים לאחר תחילת השפל הכלפכלי היה המצב גרוע ביותר,4
94,"הנבחרת מנוהלת על ידי התאחדות הכדורגל
",הנבחרת מנוהלת על יי התאחדות הכדורגל,3
95,"מבחינתי העניין הזה סגור ואפשר להתמקד בדיון
",מבינתי העניין הזה סגור ואפשר להתמקד בדיון,0
96,"מספר הנציגים שנבחר בכל מחוז בחירה משתנה בהתאם לשיטת הבחירות
",מספח הנציגים שנבחר בכל מחוז בחירה משתנה בהתאם לשיטת הבחירות,0
97,"במהלך האולימפיאדה הצליח הספורטאי לזכות לראשונה במדליית זהב
",במהלך האולימפיאדה הצליח הספורטאי לזכות לראשוהנ במדליית זהב,5
98,"בשנים האחרונות המשחק זוכה לפופולריות הולכת וגדלה גם בשאר העולם
",בשנים האחרונות המשחק זוכה לפופולריות הולכת וגדלה גם בשאר עהולם,9
99,"במקרה הגרוע ביותר אפשר להפנות לתמונות של הספר
",במקרה הגרוע ביותר אפשה להפנות לתמונות של הספר,3
100,במקרים מסוימים ההתנהגות המהווה תרמית יכולה לגרור אחריות פלילית,במקרים מסוימים ההתנהגות המהוהו תרמית יכולה לגרור אחריות פלילית,3
